voted_for,age_group,gender,education,race,religion
Biden,65+,Female,Post-grad,White,None
Biden,45-65,Female,2-year,Hispanic,Roman Catholic
Biden,30-44,Female,2-year,White,Atheist
Trump,65+,Male,High school graduate,White,Roman Catholic
Biden,65+,Male,High school graduate,Hispanic,None
Biden,65+,Female,2-year,White,Roman Catholic
Biden,65+,Female,2-year,White,Other
Biden,18-29,Male,2-year,White,None
Trump,65+,Female,High school graduate,White,Protestant
Biden,65+,Female,High school graduate,Black,Protestant
Biden,18-29,Male,High school graduate,White,Roman Catholic
Biden,45-65,Female,2-year,Hispanic,None
Biden,45-65,Female,Some college,White,Other
Trump,65+,Male,High school graduate,White,Roman Catholic
Biden,65+,Female,Some college,White,Protestant
Trump,65+,Male,High school graduate,White,Protestant
Biden,18-29,Male,High school graduate,Black,Protestant
Trump,30-44,Male,2-year,Native American,None
Trump,65+,Male,4-year,White,Roman Catholic
Trump,65+,Female,Some college,White,Roman Catholic
Trump,45-65,Male,High school graduate,White,None
Biden,30-44,Male,4-year,White,Roman Catholic
Trump,30-44,Male,Some college,White,Other
Trump,45-65,Female,Some college,White,Protestant
Trump,65+,Male,2-year,White,Protestant
Biden,30-44,Male,2-year,White,Roman Catholic
Biden,30-44,Male,Some college,Hispanic,Other
Biden,18-29,Male,Some college,White,Agnostic
Biden,30-44,Male,4-year,Black,Other
Biden,45-65,Female,High school graduate,White,None
Trump,65+,Male,Some college,White,Protestant
Trump,30-44,Male,Some college,White,Protestant
Trump,45-65,Male,High school graduate,White,None
Biden,18-29,Female,2-year,White,None
Trump,18-29,Male,4-year,White,None
Trump,65+,Female,High school graduate,White,Roman Catholic
Biden,65+,Female,Post-grad,White,Jewish
Biden,45-65,Male,2-year,Hispanic,None
Trump,65+,Female,Some college,White,Protestant
Biden,45-65,Male,4-year,White,Agnostic
Trump,45-65,Male,4-year,White,Roman Catholic
Biden,30-44,Male,4-year,White,Agnostic
Trump,30-44,Male,Some college,White,Protestant
Trump,65+,Male,2-year,White,Protestant
Biden,65+,Male,4-year,White,Atheist
Trump,45-65,Male,4-year,White,Atheist
Trump,65+,Female,High school graduate,White,Protestant
Trump,65+,Female,High school graduate,White,Protestant
Trump,65+,Male,High school graduate,Hispanic,Roman Catholic
Biden,65+,Female,High school graduate,White,Roman Catholic
Biden,45-65,Female,High school graduate,White,Roman Catholic
Biden,65+,Male,High school graduate,White,Roman Catholic
Biden,65+,Male,High school graduate,Black,Other
Trump,45-65,Male,High school graduate,White,Protestant
Biden,30-44,Male,4-year,White,Atheist
Biden,45-65,Male,4-year,White,None
Trump,45-65,Female,Some college,White,Protestant
Trump,30-44,Male,4-year,White,Roman Catholic
Biden,45-65,Male,High school graduate,Black,Agnostic
Biden,65+,Male,4-year,White,Agnostic
Trump,18-29,Female,4-year,White,Protestant
Biden,30-44,Male,Post-grad,Asian,Roman Catholic
Biden,18-29,Female,2-year,White,Protestant
Biden,45-65,Male,4-year,White,Agnostic
Trump,65+,Male,Some college,White,Roman Catholic
Biden,45-65,Male,4-year,White,Agnostic
Trump,65+,Male,High school graduate,White,Agnostic
Biden,18-29,Male,High school graduate,White,Roman Catholic
Biden,30-44,Female,Some college,Black,None
Trump,65+,Male,4-year,White,Protestant
Trump,45-65,Female,Some college,White,Protestant
Biden,18-29,Female,4-year,White,Atheist
Biden,65+,Male,4-year,White,Jewish
