voted_for,age_group,gender,education,race,religion,household_gun_ownership,student_loan_status
Biden,18-29,Female,4-year,White,Roman Catholic,No,No
Biden,45-64,Female,4-year,Native American,Agnostic,No,Yes
Biden,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,18-29,Female,2-year,White,Roman Catholic,Yes,No
Biden,30-44,Male,High school graduate,Middle Eastern,None,No,No
Biden,30-44,Female,4-year,White,Protestant,Unsure,No
Trump,45-64,Female,High school graduate,White,Protestant,No,No
Trump,65+,Female,2-year,White,Roman Catholic,No,No
Biden,65+,Male,Post-grad,White,Agnostic,No,No
Trump,45-64,Female,High school graduate,White,Protestant,Unsure,No
Biden,65+,Female,Post-grad,White,Roman Catholic,No,No
Biden,65+,Male,High school graduate,Black,Protestant,No,No
Biden,45-64,Female,No HS,Hispanic,None,No,No
Biden,65+,Male,Post-grad,White,Protestant,No,No
Biden,65+,Male,Post-grad,White,None,No,No
Biden,18-29,Male,Some college,Asian,Atheist,No,Yes
Trump,65+,Female,High school graduate,White,Other,Yes,No
Trump,45-64,Male,Post-grad,Middle Eastern,None,Yes,Yes
Trump,65+,Male,High school graduate,White,Protestant,Yes,No
Trump,65+,Female,2-year,White,None,No,No
Biden,45-64,Female,Post-grad,White,Roman Catholic,No,No
Biden,65+,Female,Post-grad,White,Protestant,No,No
Biden,45-64,Female,Post-grad,White,Protestant,Yes,No
Biden,65+,Female,Some college,White,Protestant,No,No
Trump,30-44,Female,Some college,White,Other,Unsure,No
Biden,65+,Female,Some college,White,None,Yes,No
Biden,65+,Male,Post-grad,White,Protestant,Yes,No
Biden,65+,Female,Post-grad,White,Roman Catholic,Yes,No
Biden,65+,Female,Post-grad,White,Protestant,No,No
Trump,30-44,Female,4-year,White,Jewish,Yes,No
Trump,65+,Female,Some college,White,Protestant,No,No
Trump,65+,Female,2-year,White,Protestant,Yes,No
Biden,45-64,Male,Some college,White,Agnostic,Yes,No
Trump,45-64,Male,High school graduate,White,Protestant,Yes,Yes
Trump,65+,Male,Post-grad,White,Jewish,No,No
Trump,45-64,Female,Post-grad,White,Protestant,No,No
Trump,45-64,Female,Some college,Hispanic,Other,Yes,No
Biden,65+,Male,Post-grad,White,Jewish,Yes,No
Biden,65+,Male,High school graduate,Black,Protestant,Yes,No
Trump,65+,Female,Post-grad,White,Roman Catholic,No,No
Biden,65+,Male,Post-grad,White,Atheist,No,No
Biden,65+,Male,Post-grad,White,Atheist,Yes,No
Biden,18-29,Male,Some college,White,Atheist,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,45-64,Male,High school graduate,White,Agnostic,No,No
Biden,45-64,Female,4-year,Black,None,Yes,Yes
Trump,30-44,Male,Some college,White,Atheist,Unsure,No
Biden,65+,Male,High school graduate,White,None,Yes,No
Biden,45-64,Male,Some college,White,Atheist,No,No
Biden,45-64,Female,Post-grad,White,Protestant,Yes,Yes
Biden,30-44,Female,Post-grad,Black,Atheist,No,Yes
Biden,45-64,Male,High school graduate,White,Other,No,No
Biden,30-44,Female,Some college,White,None,No,No
Trump,30-44,Male,4-year,White,Roman Catholic,Unsure,No
Biden,45-64,Female,2-year,Hispanic,None,No,Yes
Biden,65+,Female,Post-grad,White,Protestant,No,No
Biden,45-64,Female,Post-grad,White,Roman Catholic,No,Yes
Biden,65+,Female,Some college,White,Protestant,No,No
Biden,65+,Female,Some college,White,Roman Catholic,No,No
Trump,65+,Male,High school graduate,White,Roman Catholic,Yes,No
Trump,65+,Male,High school graduate,White,Other,Yes,No
Biden,65+,Female,Post-grad,Black,Protestant,No,Yes
Trump,65+,Male,Post-grad,White,Roman Catholic,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,No,No
Trump,65+,Female,Some college,White,Protestant,Unsure,No
Trump,30-44,Female,Some college,White,Protestant,Unsure,No
Biden,65+,Female,Post-grad,White,None,No,No
Biden,45-64,Female,2-year,Hispanic,Roman Catholic,No,Yes
Biden,30-44,Female,2-year,White,Atheist,Yes,Yes
Trump,65+,Male,High school graduate,White,Roman Catholic,Yes,No
Biden,65+,Male,High school graduate,Hispanic,None,No,No
Biden,65+,Female,2-year,White,Roman Catholic,Yes,No
Biden,65+,Female,2-year,White,Other,Yes,No
Biden,18-29,Male,2-year,White,None,No,Yes
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Biden,65+,Female,High school graduate,Black,Protestant,No,No
Biden,18-29,Male,High school graduate,White,Roman Catholic,Yes,No
Biden,45-64,Female,2-year,Hispanic,None,No,No
Biden,45-64,Female,Some college,White,Other,No,No
Trump,65+,Male,High school graduate,White,Roman Catholic,Yes,No
Biden,65+,Female,Some college,White,Protestant,Yes,No
Biden,18-29,Male,High school graduate,Black,Protestant,No,No
Trump,30-44,Male,2-year,Native American,None,Yes,No
Trump,65+,Male,4-year,White,Roman Catholic,Yes,No
Trump,65+,Female,Some college,White,Roman Catholic,Yes,No
Trump,45-64,Male,High school graduate,White,None,Unsure,No
Biden,30-44,Male,4-year,White,Roman Catholic,No,No
Trump,30-44,Male,Some college,White,Other,Yes,No
Trump,45-64,Female,Some college,White,Protestant,No,No
Biden,30-44,Male,2-year,White,Roman Catholic,No,No
Biden,30-44,Male,Some college,Hispanic,Other,No,Yes
Biden,30-44,Male,4-year,Black,Other,No,Yes
Biden,45-64,Female,High school graduate,White,None,No,Yes
Trump,65+,Male,Some college,White,Protestant,Yes,No
Trump,30-44,Male,Some college,White,Protestant,Yes,No
Trump,45-64,Male,High school graduate,White,None,Yes,No
Biden,18-29,Female,2-year,White,None,No,No
Trump,65+,Female,High school graduate,White,Roman Catholic,Yes,No
Biden,65+,Female,Post-grad,White,Jewish,No,Yes
Biden,45-64,Male,2-year,Hispanic,None,No,No
Trump,65+,Female,Some college,White,Protestant,Yes,No
Biden,45-64,Male,4-year,White,Agnostic,No,No
Trump,45-64,Male,4-year,White,Roman Catholic,No,No
Biden,30-44,Male,4-year,White,Agnostic,Yes,No
Trump,30-44,Male,Some college,White,Protestant,Unsure,No
Trump,65+,Male,2-year,White,Protestant,Yes,No
Biden,65+,Male,4-year,White,Atheist,No,No
Trump,45-64,Male,4-year,White,Atheist,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,65+,Male,High school graduate,Hispanic,Roman Catholic,No,No
Biden,65+,Female,High school graduate,White,Roman Catholic,No,No
Biden,65+,Male,High school graduate,Black,Other,No,No
Trump,45-64,Male,High school graduate,White,Protestant,No,No
Biden,30-44,Male,4-year,White,Atheist,Yes,No
Biden,45-64,Male,4-year,White,None,No,No
Trump,45-64,Female,Some college,White,Protestant,No,No
Trump,30-44,Male,4-year,White,Roman Catholic,Yes,No
Biden,45-64,Male,High school graduate,Black,Agnostic,No,No
Biden,65+,Male,4-year,White,Agnostic,Yes,No
Trump,18-29,Female,4-year,White,Protestant,No,No
Biden,30-44,Male,Post-grad,Asian,Roman Catholic,Yes,No
Biden,18-29,Female,2-year,White,Protestant,No,No
Biden,45-64,Male,4-year,White,Agnostic,No,No
Trump,65+,Male,Some college,White,Roman Catholic,No,No
Biden,45-64,Male,4-year,White,Agnostic,No,No
Trump,65+,Male,High school graduate,White,Agnostic,No,No
Biden,18-29,Male,High school graduate,White,Roman Catholic,Yes,No
Biden,30-44,Female,Some college,Black,None,No,Yes
Trump,65+,Male,4-year,White,Protestant,Yes,No
Trump,45-64,Female,Some college,White,Protestant,Yes,No
Biden,18-29,Female,4-year,White,Atheist,No,No
Biden,65+,Male,4-year,White,Jewish,No,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Biden,65+,Male,High school graduate,White,Protestant,No,No
Trump,45-64,Female,Some college,White,Roman Catholic,Yes,No
Biden,30-44,Male,4-year,White,Roman Catholic,No,No
Trump,45-64,Male,2-year,White,Protestant,Yes,Yes
Biden,65+,Male,4-year,White,Atheist,No,No
Biden,45-64,Male,2-year,White,Roman Catholic,No,Yes
Biden,65+,Male,Some college,White,Agnostic,Yes,No
Biden,45-64,Female,Some college,White,Other,Yes,Yes
Trump,65+,Male,2-year,White,Other,Yes,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Trump,18-29,Female,High school graduate,White,Atheist,No,No
Biden,30-44,Female,4-year,Black,Protestant,No,No
Biden,65+,Male,2-year,White,Atheist,No,Yes
Biden,65+,Male,2-year,White,Roman Catholic,No,No
Biden,30-44,Male,High school graduate,Middle Eastern,Roman Catholic,No,No
Biden,45-64,Male,4-year,White,Protestant,No,No
Biden,45-64,Male,4-year,White,None,No,Yes
Trump,65+,Male,High school graduate,White,Protestant,No,No
Biden,45-64,Female,Some college,White,None,No,No
Biden,65+,Male,High school graduate,White,Jewish,No,No
Biden,45-64,Female,Some college,White,Agnostic,No,No
Trump,65+,Female,High school graduate,White,Protestant,No,No
Trump,45-64,Male,4-year,White,Protestant,No,No
Trump,65+,Male,4-year,White,Protestant,Unsure,No
Biden,45-64,Female,Some college,White,None,Yes,No
Trump,65+,Male,4-year,White,Protestant,No,No
Biden,65+,Male,4-year,White,None,Yes,Yes
Trump,45-64,Male,4-year,White,Protestant,Yes,No
Biden,45-64,Male,4-year,Black,Protestant,No,No
Biden,45-64,Male,4-year,White,None,Yes,No
Trump,30-44,Male,Some college,White,Protestant,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,No,No
Biden,65+,Female,2-year,White,Protestant,Yes,No
Biden,65+,Male,4-year,White,Protestant,Yes,No
Biden,45-64,Male,Some college,Black,None,Yes,Yes
Biden,18-29,Female,4-year,Black,Protestant,No,Yes
Biden,45-64,Female,High school graduate,White,Other,No,No
Biden,30-44,Male,4-year,Black,Protestant,No,No
Biden,45-64,Female,2-year,White,Other,Yes,No
Trump,45-64,Male,No HS,White,Protestant,Yes,Yes
Biden,30-44,Female,Post-grad,Multiracial,None,Yes,No
Trump,45-64,Male,Some college,Black,Protestant,Yes,No
Trump,45-64,Male,High school graduate,White,Protestant,No,No
Trump,18-29,Female,2-year,White,Protestant,Unsure,No
Trump,65+,Male,High school graduate,White,Protestant,Yes,No
Trump,45-64,Female,High school graduate,White,Atheist,Yes,No
Biden,45-64,Female,High school graduate,White,None,Yes,No
Biden,45-64,Male,4-year,White,None,Yes,No
Trump,30-44,Female,High school graduate,White,Agnostic,No,No
Biden,30-44,Female,2-year,White,Other,No,Yes
Biden,45-64,Male,High school graduate,White,None,No,No
Trump,45-64,Female,No HS,Native American,Other,Unsure,No
Biden,45-64,Male,High school graduate,White,Agnostic,Yes,No
Biden,45-64,Male,High school graduate,White,Protestant,No,No
Biden,65+,Female,High school graduate,White,Roman Catholic,No,No
Trump,45-64,Male,2-year,White,Agnostic,Yes,No
Trump,65+,Female,High school graduate,White,Roman Catholic,No,No
Trump,65+,Male,Post-grad,White,Protestant,Yes,No
Trump,45-64,Female,4-year,White,Agnostic,Yes,No
Biden,30-44,Male,Post-grad,White,Agnostic,Yes,No
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,30-44,Female,2-year,White,Protestant,Yes,No
Biden,30-44,Female,Post-grad,Hispanic,Atheist,No,No
Biden,65+,Female,2-year,White,Roman Catholic,No,No
Biden,45-64,Male,No HS,White,Agnostic,No,No
Trump,45-64,Male,Some college,Black,Protestant,Yes,No
Trump,30-44,Female,High school graduate,White,None,Yes,No
Trump,65+,Male,Post-grad,White,Roman Catholic,Yes,No
Biden,30-44,Female,Some college,Native American,None,Yes,Yes
Biden,45-64,Male,2-year,Hispanic,Roman Catholic,No,No
Biden,45-64,Male,4-year,White,Agnostic,Yes,No
Trump,18-29,Female,4-year,White,Roman Catholic,No,No
Biden,65+,Female,High school graduate,White,Atheist,No,No
Trump,18-29,Female,Some college,White,Agnostic,Yes,No
Trump,45-64,Male,Some college,White,None,Yes,No
